time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443650000	3.97922	0.548351	5.41864	-0.0756986	-0.287387	radar	3.35611	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25753	0.542857	5.42512	-0.0731761	-0.243302	lidar	0.226672	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51661	0.580543	5.34008	-0.0308242	-0.118175	radar	1.14371	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7051	0.695193	5.17756	0.0797431	0.13023	lidar	9.73955	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95729	0.692086	5.09261	0.0657221	0.091268	radar	1.68646	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26187	0.681919	5.17431	0.0450513	0.0446847	lidar	3.61903	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52261	0.687327	5.25183	0.0430305	0.0363681	radar	1.6299	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82217	0.697803	5.30999	0.0421762	0.0324351	lidar	2.11897	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06484	0.62214	5.18429	-0.0167033	-0.0656941	radar	3.92356	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32099	0.734735	5.17488	0.058007	0.0545389	lidar	3.17285	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57097	0.767518	5.12562	0.0719778	0.0711839	radar	0.333471	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82021	0.76198	5.11666	0.0609927	0.0507599	lidar	0.228038	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06181	0.74608	4.98359	0.0451174	0.0261284	radar	2.57583	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27982	0.827426	4.93846	0.0869912	0.0785027	lidar	2.24701	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57697	0.839511	5.14233	0.0835125	0.068944	radar	5.13907	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83066	0.815162	5.13576	0.062782	0.0399502	lidar	0.637807	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.07895	0.833671	5.03067	0.0659442	0.0411962	radar	2.31058	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31691	0.848456	5.01076	0.0674921	0.0406567	lidar	0.253654	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.58943	0.935503	5.1916	0.102476	0.0768626	radar	6.61748	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83008	0.991151	5.16745	0.12028	0.091808	lidar	0.596846	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12167	1.02984	5.23564	0.126642	0.0934956	radar	6.85297	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36159	1.06101	5.20497	0.131043	0.0932993	lidar	0.596222	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.6427	1.13161	5.26983	0.150071	0.10757	radar	4.40101	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.9212	1.25294	5.31303	0.188512	0.139981	lidar	3.1762	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1681	1.33532	5.17761	0.210018	0.154523	radar	5.08543	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3927	1.41377	5.1397	0.228568	0.165008	lidar	1.23286	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6231	1.48749	4.97996	0.244868	0.17327	radar	3.67771	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8449	1.52307	4.94233	0.244756	0.165178	lidar	0.972536	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1129	1.57406	5.03583	0.246945	0.1592	radar	2.10234	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3932	1.62638	5.08856	0.248702	0.15331	lidar	1.99558	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6234	1.68009	5.01799	0.254204	0.151542	radar	0.6945	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8521	1.74608	4.99771	0.263482	0.15315	lidar	0.28376	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1112	1.83241	5.10938	0.276514	0.157693	radar	1.57459	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3533	1.87039	5.09119	0.27285	0.147162	lidar	0.507779	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6104	1.93406	5.17285	0.276533	0.143455	radar	0.785957	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8138	2.05743	5.12644	0.305732	0.16369	lidar	3.5073	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0844	2.16232	5.26792	0.320219	0.168843	radar	3.10622	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2919	2.29565	5.2275	0.349564	0.188101	lidar	3.03562	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4717	2.41574	5.00177	0.377063	0.206168	radar	11.7749	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7222	2.5384	5.04507	0.395855	0.213926	lidar	1.11444	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9433	2.64001	5.0043	0.409144	0.21661	radar	0.279451	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1741	2.79539	5.03918	0.438585	0.23373	lidar	1.37438	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4262	2.90569	5.15951	0.446723	0.229423	radar	1.14131	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6293	2.9921	5.10045	0.452433	0.224166	lidar	1.88171	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8646	3.13767	5.1863	0.472991	0.232196	radar	3.94745	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0778	3.32788	5.21167	0.510492	0.25618	lidar	2.14137	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2922	3.47724	5.13605	0.53346	0.266751	radar	3.20318	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5085	3.67026	5.17779	0.56756	0.285988	lidar	1.564	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7203	3.79707	5.13986	0.578523	0.283225	radar	0.765392	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9395	3.95519	5.16078	0.597197	0.287398	lidar	0.198502	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1377	4.10101	5.04404	0.616054	0.293295	radar	1.87742	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3349	4.3036	5.08461	0.649623	0.310801	lidar	1.23848	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.547	4.46111	5.11089	0.663808	0.309355	radar	0.5311	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7222	4.63938	5.09738	0.689427	0.318751	lidar	0.832166	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8814	4.8016	4.88417	0.716398	0.332523	radar	4.47325	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0451	5.03485	4.9349	0.758341	0.355891	lidar	2.0894	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2181	5.18933	4.88078	0.772949	0.353676	radar	1.24715	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3721	5.38525	4.88458	0.801446	0.363618	lidar	0.539313	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5314	5.53784	4.8032	0.815782	0.361144	radar	2.56917	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7121	5.6862	4.79091	0.822036	0.350323	lidar	0.540253	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8621	5.86307	4.71323	0.844405	0.356413	radar	0.9144	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0302	6.07248	4.76807	0.868492	0.362219	lidar	1.02662	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1849	6.26951	4.79419	0.889691	0.364919	radar	0.968304	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.307	6.51792	4.84392	0.930956	0.385965	lidar	1.77602	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.444	6.71873	4.81987	0.954163	0.390366	radar	0.4189	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5809	6.87481	4.76238	0.962557	0.380147	lidar	0.864774	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7312	7.08145	4.8429	0.977891	0.375214	radar	0.696358	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9154	7.24403	4.83656	0.973828	0.354562	lidar	3.11292	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0102	7.43	4.68882	1.00173	0.366557	radar	3.76462	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1037	7.70045	4.76479	1.04591	0.390103	lidar	2.2801	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2259	7.90445	4.77903	1.06256	0.386958	radar	0.197991	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3039	8.12768	4.76819	1.09467	0.398355	lidar	1.58853	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4037	8.33676	4.79177	1.11369	0.395999	radar	2.18614	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4914	8.49243	4.68496	1.12418	0.387235	lidar	3.04407	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5855	8.69437	4.64093	1.14397	0.388553	radar	0.435316	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7362	8.88599	4.65038	1.14294	0.370412	lidar	3.858	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8153	9.09853	4.59225	1.16852	0.378686	radar	0.912259	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9396	9.33862	4.66341	1.1826	0.374772	lidar	3.26227	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9941	9.5441	4.54155	1.21325	0.388962	radar	2.44136	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0785	9.79448	4.60753	1.23781	0.393861	lidar	1.06956	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1416	10.0436	4.68423	1.26437	0.398652	radar	7.41835	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1911	10.3249	4.77123	1.3005	0.413425	lidar	1.33513	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2164	10.5449	4.66165	1.33565	0.430271	radar	3.2896	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2729	10.8314	4.76767	1.36559	0.438264	lidar	2.35365	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3039	11.0862	4.80267	1.39524	0.445002	radar	5.06711	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3366	11.3315	4.81552	1.42078	0.447948	lidar	0.042861	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3014	11.553	4.62623	1.47411	0.484309	radar	12.122	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.365	11.8081	4.68382	1.48736	0.475036	lidar	4.19392	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3856	12.0455	4.76002	1.50416	0.463877	radar	3.21401	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.371	12.3456	4.87217	1.54324	0.478242	lidar	1.57707	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3337	12.5666	4.72914	1.58782	0.504141	radar	4.28949	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3532	12.8153	4.75493	1.60545	0.497695	lidar	1.41083	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3449	13.0367	4.69967	1.63068	0.50011	radar	2.08128	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3091	13.2528	4.66532	1.66056	0.504161	lidar	1.06283	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2735	13.4813	4.66395	1.68891	0.506404	radar	1.334	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2461	13.7538	4.74407	1.71522	0.50763	lidar	1.35481	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1971	13.9712	4.68016	1.74806	0.517624	radar	1.11791	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1364	14.2393	4.75873	1.78044	0.523589	lidar	0.612034	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0677	14.4625	4.73911	1.81276	0.52973	radar	1.56405	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9555	14.7305	4.83211	1.8567	0.545138	lidar	1.91335	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.888	14.9445	4.81427	1.88005	0.539102	radar	3.12789	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8523	15.1647	4.78045	1.89391	0.527742	lidar	1.6268	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7369	15.3617	4.63944	1.95057	0.570109	radar	9.23516	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7054	15.5488	4.55468	1.9616	0.554846	lidar	2.44408	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.617	15.7445	4.52629	1.98987	0.555481	radar	1.1904	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.507	15.9691	4.57309	2.02128	0.558757	lidar	0.176057	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4055	16.1728	4.59027	2.04456	0.550572	radar	1.54022	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2936	16.3541	4.55324	2.07514	0.553052	lidar	0.527007	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1803	16.5451	4.53482	2.10525	0.556736	radar	0.27123	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0406	16.7687	4.60964	2.13666	0.559996	lidar	0.410883	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8909	16.9594	4.58876	2.18525	0.590527	radar	7.52548	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7036	17.216	4.76889	2.22168	0.596793	lidar	2.32756	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5931	17.4169	4.77939	2.22504	0.560398	radar	5.14461	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3709	17.6214	4.88918	2.2718	0.576364	lidar	4.25025	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.23	17.812	4.8901	2.28533	0.554372	radar	2.43918	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.096	17.9945	4.85669	2.30523	0.547774	lidar	0.83428	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.923	18.1503	4.82337	2.34287	0.56093	radar	1.86555	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7971	18.2831	4.70522	2.366	0.556745	lidar	0.989738	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6649	18.4597	4.6801	2.37791	0.539514	radar	6.72252	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4598	18.6487	4.7725	2.40757	0.541776	lidar	0.573467	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2825	18.7892	4.74311	2.43896	0.546876	radar	1.64875	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1232	18.9208	4.68055	2.46475	0.545577	lidar	0.26275	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9547	19.0903	4.69351	2.47974	0.531802	radar	3.2518	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7349	19.208	4.70654	2.51883	0.542216	lidar	2.64359	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5428	19.3638	4.73644	2.54129	0.538687	radar	3.24	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3066	19.5321	4.84827	2.56759	0.538004	lidar	0.82316	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0871	19.6172	4.81687	2.61096	0.555261	radar	9.94525	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8782	19.7617	4.84959	2.63238	0.549909	lidar	0.74277	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6921	19.8805	4.78585	2.6456	0.528591	radar	3.61747	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4516	20.0372	4.88956	2.6653	0.522685	lidar	1.28824	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2351	20.1818	4.91861	2.67832	0.50771	radar	5.93519	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.051	20.3051	4.87388	2.69352	0.499398	lidar	2.14465	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8214	20.391	4.87214	2.7251	0.505719	radar	1.88829	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6059	20.5067	4.87901	2.74375	0.500177	lidar	0.740036	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3662	20.5992	4.91465	2.77308	0.506743	radar	1.01662	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1207	20.6726	4.92972	2.80384	0.511193	lidar	0.585601	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.881	20.748	4.94998	2.83368	0.517726	radar	0.271157	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6035	20.8148	5.01983	2.86573	0.522523	lidar	1.42877	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3499	20.8531	5.05609	2.90798	0.544402	radar	2.53596	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1105	20.8923	5.02954	2.93919	0.547878	lidar	0.220297	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8753	20.9511	5.01694	2.96224	0.54443	radar	1.78013	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6916	20.9874	4.89281	2.9862	0.542644	lidar	2.18572	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4319	21.0312	4.94465	3.01326	0.544107	radar	2.55992	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1883	21.0678	4.94604	3.03785	0.541903	lidar	0.110232	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9464	21.0893	4.95615	3.06728	0.546722	radar	1.08383	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7108	21.0605	4.91082	3.10773	0.558161	lidar	2.1019	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.459	21.0493	4.92753	3.14208	0.565044	radar	1.20616	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.254	21.0401	4.84527	3.17144	0.566836	lidar	0.75725	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9924	21.0051	4.88939	3.20892	0.57586	radar	4.34045	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7929	20.9656	4.79833	3.24413	0.582352	lidar	0.712096	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5488	20.9577	4.75172	3.26198	0.566477	radar	5.00637	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2608	20.9842	4.86313	3.27024	0.548006	lidar	3.22338	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0245	20.9635	4.84984	3.29284	0.543312	radar	0.988658	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84262	20.9215	4.73996	3.32338	0.547582	lidar	1.58524	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62564	20.9016	4.63079	3.33756	0.5296	radar	2.25805	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43817	20.8498	4.55671	3.36777	0.533729	lidar	0.654935	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22667	20.8045	4.54392	3.39278	0.533036	radar	1.38868	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.9161	20.7744	4.71295	3.40249	0.516389	lidar	3.03935	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70856	20.695	4.68246	3.43543	0.523224	radar	4.21043	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41675	20.6138	4.81292	3.45829	0.518726	lidar	3.07658	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1903	20.5342	4.81627	3.48527	0.520022	radar	0.0358061	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94192	20.4541	4.85738	3.50745	0.516227	lidar	0.195789	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72514	20.37	4.87886	3.53484	0.520608	radar	3.30466	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.4023	20.3086	5.04654	3.53698	0.498011	lidar	3.60367	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17221	20.2124	5.01362	3.55918	0.493652	radar	0.343066	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90309	20.127	5.08035	3.57212	0.482787	lidar	0.706221	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68409	20.0345	5.01868	3.59085	0.476005	radar	0.75482	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43476	19.9412	5.0541	3.60539	0.467678	lidar	0.434358	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.225	19.8471	5.00402	3.62407	0.463297	radar	3.06883	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.95799	19.7513	5.07415	3.63285	0.45018	lidar	0.977091	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.71933	19.6103	5.15816	3.6605	0.457022	radar	1.46545	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55114	19.4883	5.05934	3.69047	0.464351	lidar	1.57472	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34932	19.3413	5.05212	3.71981	0.470132	radar	1.65485	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14019	19.2387	5.02594	3.73297	0.461671	lidar	2.17312	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96449	19.1245	4.89349	3.75163	0.455401	radar	4.76623	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80305	18.9782	4.83483	3.7829	0.463469	lidar	0.494881	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.59149	18.8282	4.90992	3.80451	0.463734	radar	1.60139	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.41547	18.6985	4.86638	3.82481	0.461858	lidar	1.11823	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.24634	18.5545	4.77475	3.84669	0.458659	radar	1.18883	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.12172	18.406	4.68277	3.87988	0.468858	lidar	1.50723	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.92192	18.2355	4.88299	3.90426	0.475291	radar	7.47303	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
